A	名前はまだ無い。
	先生、罪悪という意味をもっと判然いって聞かして下さい。それでなければこの問題をここで切り上げて下さい。私自身に罪悪という意味が判然解るまで
	悪い事をした。私はあなたに真実を話している気でいた。ところが実際は、あなたを焦慮していたのだ。私は悪い事をした
	君は私がなぜ毎月雑司ヶ谷の墓地に埋っている友人の墓へ参るのか知っていますか
	また悪い事をいった。焦慮せるのが悪いと思って、説明しようとすると、その説明がまたあなたを焦慮せるような結果になる。どうも仕方がない。この問題はこれで止めましょう。とにかく恋は罪悪ですよ、よござんすか。そうして神聖なものですよ
ab	あんまり逆上ちゃいけません
	覚めた結果としてそう思うんです
	あなたは熱に浮かされているのです。熱がさめると厭になります。私は今のあなたからそれほどに思われるのを、苦しく感じています。しかしこれから先のあなたに起るべき変化を予想して見ると、なお苦しくなります
ab	私はそれほど軽薄に思われているんですか。それほど不信用なんですか
a	私はお気の毒に思うのです
	気の毒だが信用されないとおっしゃるんですか
	信用しないって、特にあなたを信用しないんじゃない。人間全体を信用しないんです
	じゃ奥さんも信用なさらないんですか
	私は私自身さえ信用していないのです。つまり自分で自分が信用できないから、人も信用できないようになっているのです。自分を呪うより外に仕方がないのです
ab	そうむずかしく考えれば、誰だって確かなものはないでしょう
	いや考えたんじゃない。やったんです。やった後で驚いたんです。そうして非常に怖くなったんです
aj	あなた、あなた
a	何だい
alj	ちょっと
b	とにかくあまり私を信用してはいけませんよ。今に後悔するから。そうして自分が欺かれた返報に、残酷な復讐をするようになるものだから
ab	そりゃどういう意味ですか
	かつてはその人の膝の前に跪いたという記憶が、今度はその人の頭の上に足を載せさせようとするのです。私は未来の侮辱を受けないために、今の尊敬を斥けたいと思うのです。私は今より一層淋しい未来の私を我慢する代りに、淋しい今の私を我慢したいのです。自由と独立と己れとに充ちた現代に生れた我々は、その犠牲としてみんなこの淋しみを味わわなくてはならないでしょう
	かつてはその人の前に跪いたという記憶が、今度はその人の頭の上に足を載せさせようとする
	時間に後れると悪いって、つい今しがた出掛けました
ab	ちっとそこいらにある本でも読んでいて下さい
a	おや
a	それじゃ窮屈でしょう
	いえ、窮屈じゃありません
a	でも退屈でしょう
	いいえ。泥棒が来るかと思って緊張しているから退屈でもありません
	ここは隅っこだから番をするには好くありませんね
	じゃ失礼ですがもっと真中へ出て来て頂戴。ご退屈だろうと思って、お茶を入れて持って来たんですが、茶の間で宜しければあちらで上げますから
	先生はやっぱり時々こんな会へお出掛けになるんですか
	いいえ滅多に出た事はありません。近頃は段々人の顔を見るのが嫌いになるようです
	それじゃ奥さんだけが例外なんですか
	いいえ私も嫌われている一人なんです
ai	そりゃ嘘です
a	奥さん自身嘘と知りながらそうおっしゃるんでしょう
a	なぜ
	私にいわせると、奥さんが好きになったから世間が嫌いになるんですもの
ab	あなたは学問をする方だけあって、なかなかお上手ね。空っぽな理屈を使いこなす事が。
	世の中が嫌いになったから、私までも嫌いになったんだともいわれるじゃありませんか。それと同なじ理屈で
	両方ともいわれる事はいわれますが、この場合は私の方が正しいのです
ab	議論はいやよ。よく男の方は議論だけなさるのね、面白そうに。空の盃でよくああ飽きずに献酬ができると思いますわ
	もう一杯上げましょうか
	いくつ？　一つ？　二ッつ？
l	あなた大変黙り込んじまったのね
	何かいうとまた議論を仕掛けるなんて、叱り付けられそうですから
ai	まさか
j	奥さん、先刻の続きをもう少しいわせて下さいませんか。
	奥さんには空な理屈と聞こえるかも知れませんが、私はそんな上の空でいってる事じゃないんだから
	じゃおっしゃい
	今奥さんが急にいなくなったとしたら、先生は現在の通りで生きていられるでしょうか
ab	そりゃ分らないわ、あなた。
b	そんな事、先生に聞いて見るより外に仕方がないじゃありませんか。
b	私の所へ持って来る問題じゃないわ
a	奥さん、私は真面目ですよ。だから逃げちゃいけません。正直に答えなくっちゃ
	正直よ。正直にいって私には分らないのよ
	じゃ奥さんは先生をどのくらい愛していらっしゃるんですか。これは先生に聞くよりむしろ奥さんに伺っていい質問ですから、あなたに伺います
b	何もそんな事を開き直って聞かなくっても好いじゃありませんか
	真面目くさって聞くがものはない。分り切ってるとおっしゃるんですか
a	まあそうよ
	そのくらい先生に忠実なあなたが急にいなくなったら、先生はどうなるんでしょう。世の中のどっちを向いても面白そうでない先生は、あなたが急にいなくなったら後でどうなるでしょう。先生から見てじゃない。あなたから見てですよ。あなたから見て、先生は幸福になるでしょうか、不幸になるでしょうか
	そりゃ私から見れば分っています。（先生はそう思っていないかも知れませんが）。先生は私を離れれば不幸になるだけです。あるいは生きていられないかも知れませんよ。そういうと、己惚になるようですが、私は今先生を人間としてできるだけ幸福にしているんだと信じていますわ。どんな人があっても私ほど先生を幸福にできるものはないとまで思い込んでいますわ。それだからこうして落ち付いていられるんです
	その信念が先生の心に好く映るはずだと私は思いますが
ab	それは別問題ですわ
	やっぱり先生から嫌われているとおっしゃるんですか
	私は嫌われてるとは思いません。嫌われる訳がないんですもの。しかし先生は世間が嫌いなんでしょう。世間というより近頃では人間が嫌いになっているんでしょう。だからその人間の一人として、私も好かれるはずがないじゃありませんか
	奥さん、私がこの前なぜ先生が世間的にもっと活動なさらないのだろうといって、あなたに聞いた時に、あなたはおっしゃった事がありますね。元はああじゃなかったんだって
	ええいいました。実際あんなじゃなかったんですもの
a	どんなだったんですか
	あなたの希望なさるような、また私の希望するような頼もしい人だったんです
	それがどうして急に変化なすったんですか
	急にじゃありません、段々ああなって来たのよ
	奥さんはその間始終先生といっしょにいらしったんでしょう
	無論いましたわ。夫婦ですもの
	じゃ先生がそう変って行かれる源因がちゃんと解るべきはずですがね
	それだから困るのよ。あなたからそういわれると実に辛いんですが、私にはどう考えても、考えようがないんですもの。
	私は今まで何遍あの人に、どうぞ打ち明けて下さいって頼んで見たか分りゃしません
	先生は何とおっしゃるんですか
	何にもいう事はない、何にも心配する事はない、おれはこういう性質になったんだからというだけで、取り合ってくれないんです
ab	あなたは私に責任があるんだと思ってやしませんか
i	いいえ
	どうぞ隠さずにいって下さい。そう思われるのは身を切られるより辛いんだから
	これでも私は先生のためにできるだけの事はしているつもりなんです
a	そりゃ先生もそう認めていられるんだから、大丈夫です。ご安心なさい、私が保証します
	私はとうとう辛防し切れなくなって、先生に聞きました。私に悪い所があるなら遠慮なくいって下さい、改められる欠点なら改めるからって、すると先生は、お前に欠点なんかありゃしない、欠点はおれの方にあるだけだというんです。そういわれると、私悲しくなって仕様がないんです、涙が出てなおの事自分の悪い所が聞きたくなるんです
ab	あなたどう思って？
	私からああなったのか、それともあなたのいう人世観とか何とかいうものから、ああなったのか。隠さずいって頂戴
ab	私には解りません
	しかし先生が奥さんを嫌っていらっしゃらない事だけは保証します。私は先生自身の口から聞いた通りを奥さんに伝えるだけです。先生は嘘を吐かない方でしょう
ab	実は私すこし思いあたる事があるんですけれども……
	先生がああいう風になった源因についてですか
	ええ。もしそれが源因だとすれば、私の責任だけはなくなるんだから、それだけでも私大変楽になれるんですが、……
a	どんな事ですか
ab	あなた判断して下すって。いうから
	私にできる判断ならやります
b	みんなはいえないのよ。みんないうと叱られるから。叱られないところだけよ
	先生がまだ大学にいる時分、大変仲の好いお友達が一人あったのよ。その方がちょうど卒業する少し前に死んだんです。急に死んだんです
	実は変死したんです
a	どうして
	それっ切りしかいえないのよ。けれどもその事があってから後なんです。先生の性質が段々変って来たのは。なぜその方が死んだのか、私には解らないの。先生にもおそらく解っていないでしょう。けれどもそれから先生が変って来たと思えば、そう思われない事もないのよ
	その人の墓ですか、雑司ヶ谷にあるのは
	それもいわない事になってるからいいません。しかし人間は親友を一人亡くしただけで、そんなに変化できるものでしょうか。私はそれが知りたくって堪らないんです。だからそこを一つあなたに判断して頂きたいと思うの
	どうもご苦労さま、泥棒は来ませんでしたか
	来ないんで張合が抜けやしませんか
a	どうもお気の毒さま
	こりゃ手織りね。こんな地の好い着物は今まで縫った事がないわ。その代り縫い悪いのよそりゃあ。まるで針が立たないんですもの。お蔭で針を二本折りましたわ
	大病は好いが、ちょっとした風邪などはかえって厭なものですね
	私は風邪ぐらいなら我慢しますが、それ以上の病気は真平です。先生だって同じ事でしょう。試みにやってご覧になるとよく解ります
	そうかね。私は病気になるくらいなら、死病に罹りたいと思ってる
a	そりゃ困るでしょう。そのくらいなら今手元にあるはずだから持って行きたまえ
a	そりゃご心配ですね
	何遍も卒倒したんですか
	手紙には何とも書いてありませんが。――そんなに何度も引ッ繰り返るものですか
ai	ええ
ab	どうせむずかしいんでしょう
	そうさね。私が代られれば代ってあげても好いが。――嘔気はあるんですか
al	どうですか、何とも書いてないから、大方ないんでしょう
	吐気さえ来なければまだ大丈夫ですよ
	みんなが心配するから、まあ我慢してこう凝としている。なにもう起きても好いのさ
	お父さんはお前が帰って来たので、急に気が強くおなりなんだよ
	これしきの病気に学校を休ませては気の毒だ。お母さんがあまり仰山な手紙を書くものだからいけない
a	あんまり軽はずみをしてまた逆回すといけませんよ
	なに大丈夫、これでいつものように要心さえしていれば
	こんど東京へ行くときには椎茸でも持って行ってお上げ
	ええ、しかし先生が干した椎茸なぞを食うかしら
	旨くはないが、別に嫌いな人もないだろう
	碁だと盤が高過ぎる上に、足が着いているから、炬燵の上では打てないが、そこへ来ると将碁盤は好いね、こうして楽に差せるから。無精者には持って来いだ。もう一番やろう
D	もう帰るのかい、まだ早いじゃないか
	まだ四、五日いても間に合うんだろう
	こりゃ何の御菓子
	なるほど容体を聞くと、今が今どうという事もないようですが、病気が病気だからよほど気をつけないといけません
	自分で病気に罹っていながら、気が付かないで平気でいるのがあの病の特色です。私の知ったある士官は、とうとうそれでやられたが、全く嘘のような死に方をしたんですよ。何しろ傍に寝ていた細君が看病をする暇もなんにもないくらいなんですからね。夜中にちょっと苦しいといって、細君を起したぎり、翌る朝はもう死んでいたんです。しかも細君は夫が寝ているとばかり思ってたんだっていうんだから
	私の父もそんなになるでしょうか。ならんともいえないですね
	医者は何というのです
	医者は到底治らないというんです。けれども当分のところ心配はあるまいともいうんです
	それじゃ好いでしょう。医者がそういうなら。私の今話したのは気が付かずにいた人の事で、しかもそれがずいぶん乱暴な軍人なんだから
	しかし人間は健康にしろ病気にしろ、どっちにしても脆いものですね。いつどんな事でどんな死にようをしないとも限らないから
ab	先生もそんな事を考えてお出ですか
ab	いくら丈夫の私でも、満更考えない事もありません
	よくころりと死ぬ人があるじゃありませんか。自然に。それからあっと思う間に死ぬ人もあるでしょう。不自然な暴力で
	不自然な暴力って何ですか
	何だかそれは私にも解らないが、自殺する人はみんな不自然な暴力を使うんでしょう
	すると殺されるのも、やはり不自然な暴力のお蔭ですね
	殺される方はちっとも考えていなかった。なるほどそういえばそうだ
ab	近頃はあんまり書物を読まないから、新しい事は知りませんよ。学校の先生に聞いた方が好いでしょう
	先生はなぜ元のように書物に興味をもち得ないんですか
	なぜという訳もありませんが。……つまりいくら本を読んでもそれほどえらくならないと思うせいでしょう。それから……
a	それから、まだあるんですか
	まだあるというほどの理由でもないが、以前はね、人の前へ出たり、人に聞かれたりして知らないと恥のようにきまりが悪かったものだが、近頃は知らないという事が、それほどの恥でないように見え出したものだから、つい無理にも本を読んでみようという元気が出なくなったのでしょう。まあ早くいえば老い込んだのです
	もう論文は片付いたんですか、結構ですね
	お蔭でようやく済みました。もう何にもする事はありません
a	なるほど
a	そうですか
a	先生どこかへ散歩しましょう。外へ出ると大変好い心持です
a	どこへ
	はいってみようか
	植木屋ですね
	静かだね。断わらずにはいっても構わないだろうか
ai	構わないでしょう
	これは霧島でしょう
a	先生帽子が落ちました
a	ありがとう
	突然だが、君の家には財産がよっぽどあるんですか
	あるというほどありゃしません
	まあどのくらいあるのかね。失礼のようだが
	どのくらいって、山と田地が少しあるぎりで、金なんかまるでないんでしょう
	先生はどうなんです。どのくらいの財産をもっていらっしゃるんですか
k	私は財産家と見えますか
ai	そうでしょう
	そりゃそのくらいの金はあるさ、けれども決して財産家じゃありません。財産家ならもっと大きな家でも造るさ
	これでも元は財産家なんだがなあ
	これでも元は財産家なんですよ、君
	あなたのお父さんの病気はその後どうなりました
	何ともいって来ませんが、もう好いんでしょう
	好ければ結構だが、――病症が病症なんだからね
	やっぱり駄目ですかね。でも当分は持ち合ってるんでしょう。何ともいって来ませんよ
a	そうですか
	君のうちに財産があるなら、今のうちによく始末をつけてもらっておかないといけないと思うがね、余計なお世話だけれども。君のお父さんが達者なうちに、貰うものはちゃんと貰っておくようにしたらどうですか。万一の事があったあとで、一番面倒の起るのは財産の問題だから
i	ええ
	あなたのお父さんが亡くなられるのを、今から予想してかかるような言葉遣いをするのが気に触ったら許してくれたまえ。しかし人間は死ぬものだからね。どんなに達者なものでも、いつ死ぬか分らないものだからね
ab	そんな事をちっとも気に掛けちゃいません
ak	君の兄弟は何人でしたかね
	みんな善い人ですか
	別に悪い人間というほどのものもいないようです。大抵田舎者ですから
	田舎者はなぜ悪くないんですか
	田舎者は都会のものより、かえって悪いくらいなものです。それから、君は今、君の親戚なぞの中に、これといって、悪い人間はいないようだといいましたね。しかし悪い人間という一種の人間が世の中にあると君は思っているんですか。そんな鋳型に入れたような悪人は世の中にあるはずがありませんよ。平生はみんな善人なんです。少なくともみんな普通の人間なんです。それが、いざという間際に、急に悪人に変るんだから恐ろしいのです。だから油断ができないんです
	叔父さん、はいって来る時、家に誰もいなかったかい
	誰もいなかったよ
	姉さんやおっかさんが勝手の方にいたのに
a	そうか、いたのかい
	ああ。叔父さん、今日はって、断ってはいって来ると好かったのに
	おっかさんにそういっとくれ。少しここで休まして下さいって
	今斥候長になってるところなんだよ
D	もう、そろそろ帰りましょう。大分日が永くなったようだが、やっぱりこう安閑としているうちには、いつの間にか暮れて行くんだね
	ありがとう。脂がこびり着いてやしませんか
	綺麗に落ちました
	この羽織はつい此間拵えたばかりなんだよ。だからむやみに汚して帰ると、妻に叱られるからね。有難う
BD	どうもお邪魔をしました
	いいえお構い申しも致しませんで
	さきほど先生のいわれた、人間は誰でもいざという間際に悪人になるんだという意味ですね。あれはどういう意味ですか
	意味といって、深い意味もありません。――つまり事実なんですよ。理屈じゃないんだ
	事実で差支えありませんが、私の伺いたいのは、いざという間際という意味なんです。一体どんな場合を指すのですか
	金さ君。金を見ると、どんな君子でもすぐ悪人になるのさ
aj	おいおい
a	そら見たまえ
a	何をですか
	君の気分だって、私の返事一つですぐ変るじゃないか
	先生
ab	何ですか
	先生はさっき少し昂奮なさいましたね。あの植木屋の庭で休んでいる時に。私は先生の昂奮したのを滅多に見た事がないんですが、今日は珍しいところを拝見したような気がします
ab	やあ失敬
	私は先刻そんなに昂奮したように見えたんですか
	そんなにというほどでもありませんが、少し……
	いや見えても構わない。実際昂奮するんだから。私は財産の事をいうときっと昂奮するんです。君にはどう見えるか知らないが、私はこれで大変執念深い男なんだから。人から受けた屈辱や損害は、十年たっても二十年たっても忘れやしないんだから
	私は他に欺かれたのです。しかも血のつづいた親戚のものから欺かれたのです。私は決してそれを忘れないのです。私の父の前には善人であったらしい彼らは、父の死ぬや否や許しがたい不徳義漢に変ったのです。私は彼らから受けた屈辱と損害を小供の時から今日まで背負わされている。恐らく死ぬまで背負わされ通しでしょう。私は死ぬまでそれを忘れる事ができないんだから。しかし私はまだ復讐をしずにいる。考えると私は個人に対する復讐以上の事を現にやっているんだ。私は彼らを憎むばかりじゃない、彼らが代表している人間というものを、一般に憎む事を覚えたのだ。私はそれで沢山だと思う
	これから六月までは一番気楽な時ですね。ことによると生涯で一番気楽かも知れない。精出して遊びたまえ
ab	頭が鈍くて要領を得ないのは構いませんが、ちゃんと解ってるくせに、はっきりいってくれないのは困ります
ab	私は何にも隠してやしません
a	隠していらっしゃいます
	あなたは私の思想とか意見とかいうものと、私の過去とを、ごちゃごちゃに考えているんじゃありませんか。私は貧弱な思想家ですけれども、自分の頭で纏め上げた考えをむやみに人に隠しやしません。隠す必要がないんだから。けれども私の過去を悉くあなたの前に物語らなくてはならないとなると、それはまた別問題になります
	別問題とは思われません。先生の過去が生み出した思想だから、私は重きを置くのです。二つのものを切り離したら、私にはほとんど価値のないものになります。私は魂の吹き込まれていない人形を与えられただけで、満足はできないのです
ab	あなたは大胆だ
	ただ真面目なんです。真面目に人生から教訓を受けたいのです
ab	私の過去を訐いてもですか
ab	あなたは本当に真面目なんですか
	私は過去の因果で、人を疑りつけている。だから実はあなたも疑っている。しかしどうもあなただけは疑りたくない。あなたは疑るにはあまりに単純すぎるようだ。私は死ぬ前にたった一人で好いから、他を信用して死にたいと思っている。あなたはそのたった一人になれますか。なってくれますか。あなたははらの底から真面目ですか
	もし私の命が真面目なものなら、私の今いった事も真面目です
a	よろしい
	話しましょう。私の過去を残らず、あなたに話して上げましょう。その代り……。いやそれは構わない。しかし私の過去はあなたに取ってそれほど有益でないかも知れませんよ。聞かない方が増かも知れませんよ。それから、――今は話せないんだから、そのつもりでいて下さい。適当の時機が来なくっちゃ話さないんだから
	カラやカフスと同じ事さ。汚れたのを用いるくらいなら、一層始めから色の着いたものを使うが好い。白ければ純白でなくっちゃ
a	先生は癇性ですね
	でも着物などは、それほど気にしないようですよ
	本当をいうと、私は精神的に癇性なんです。それで始終苦しいんです。考えると実に馬鹿馬鹿しい性分だ
a	お目出とう
	世間はこんな場合によくお目出とうといいたがるものですね
a	結構ね。さぞお父さんやお母さんはお喜びでしょう
	先生の卒業証書はどうしました
	どうしたかね。――まだどこかにしまってあったかね
	ええ、たしかしまってあるはずですが
	お茶？　ご飯？　ずいぶんよく食べるのね
	もうおしまい。あなた近頃大変小食になったのね
	小食になったんじゃありません。暑いんで食われないんです
	これは宅で拵えたのよ
	君もいよいよ卒業したが、これから何をする気ですか
	教師？
	じゃお役人？
	本当いうと、まだ何をする考えもないんです。実は職業というものについて、全く考えた事がないくらいなんですから。だいちどれが善いか、どれが悪いか、自分がやって見た上でないと解らないんだから、選択に困る訳だと思います
a	それもそうね。けれどもあなたは必竟財産があるからそんな呑気な事をいっていられるのよ。これが困る人でご覧なさい。なかなかあなたのように落ち付いちゃいられないから
	少し先生にかぶれたんでしょう
	碌なかぶれ方をして下さらないのね
	かぶれても構わないから、その代りこの間いった通り、お父さんの生きてるうちに、相当の財産を分けてもらってお置きなさい。それでないと決して油断はならない
	奥さん、お宅の財産はよッぽどあるんですか
b	何だってそんな事をお聞きになるの
	先生に聞いても教えて下さらないから
	教えて上げるほどないからでしょう
	でもどのくらいあったら先生のようにしていられるか、宅へ帰って一つ父に談判する時の参考にしますから聞かして下さい
	どのくらいってほどありゃしませんわ。まあこうしてどうかこうか暮してゆかれるだけよ、あなた。――そりゃどうでも宜いとして、あなたは#これから何か為さらなくっちゃ本当にいけませんよ。先生のようにごろごろばかりしていちゃ……
	ごろごろばかりしていやしないさ
	また当分お目にかかれませんから
e	[when]には出ていらっしゃるんでしょうね
e	まあ[when]頃になるでしょう
	じゃずいぶんご機嫌よう。私たちもこの夏はことによるとどこかへ行くかも知れないのよ。ずいぶん暑そうだから。行ったらまた絵端書でも送って上げましょう
	どちらの見当です。もしいらっしゃるとすれば
	何まだ行くとも行かないとも極めていやしないんです
	時にお父さんの病気はどうなんです
	そんなに容易く考えられる病気じゃありませんよ。尿毒症が出ると、もう駄目なんだから
a	本当に大事にしてお上げなさいよ
a	毒が脳へ廻るようになると、もうそれっきりよ、あなた。笑い事じゃないわ
	どうせ助からない病気だそうですから、いくら心配したって仕方がありません
a	そう思い切りよく考えれば、それまでですけれども
	静、お前はおれより先へ死ぬだろうかね
a	なぜ
	なぜでもない、ただ聞いてみるのさ。それとも己の方がお前より前に片付くかな。大抵世間じゃ旦那が先で、細君が後へ残るのが当り前のようになってるね
	そう極った訳でもないわ。けれども男の方はどうしても、そら年が上でしょう
	だから先へ死ぬという理屈なのかね。すると己もお前より先にあの世へ行かなくっちゃならない事になるね
a	あなたは特別よ
ai	そうかね
	だって丈夫なんですもの。ほとんど煩った例がないじゃありませんか。そりゃどうしたって私の方が先だわ
e	先かな
e	え、きっと先よ
	しかしもしおれの方が先へ行くとするね。そうしたらお前どうする
h	どうするって……
h	どうするって、仕方がないわ、ねえあなた。老少不定っていうくらいだから
ab	君はどう思います
e	寿命は分りませんね。私にも
	こればかりは本当に寿命ですからね。生れた時にちゃんと極った年数をもらって来るんだから仕方がないわ。先生のお父さんやお母さんなんか、ほとんど同じよ、あなた、亡くなったのが
	亡くなられた日がですか
e	まさか[timeunit]まで同じじゃないけれども。でもまあ同じよ。
	だって続いて亡くなっちまったんですもの
	どうしてそう一度に死なれたんですか
ab	そんな話はお止しよ。つまらないから
	静、おれが死んだらこの家をお前にやろう
	ついでに地面も下さいよ
	地面は他のものだから仕方がない。その代りおれの持ってるものは皆なお前にやるよ
	どうも有難う。けれども横文字の本なんか貰っても仕様がないわね
	古本屋に売るさ
	売ればいくらぐらいになって
